,TCGA_id,Gene,Cell,Correlation
0,OV,TRAV27,T cell CD8+,0.5038913611517852
1,UCEC,TRAV21,Macrophage M1,0.5199725686216723
2,UCEC,TRAV12-2,T cell CD8+,0.5001988919692754
3,BLCA,TRBV6-5,T cell CD8+,0.5484169712358749
4,BLCA,IGHV3-49,Macrophage M2,0.508890201566006
5,TGCT,TRAV24,Macrophage M1,0.565348791704475
6,TGCT,TRAV23DV6,Macrophage M1,0.5374841389083413
7,TGCT,TRBJ1-5,Macrophage M1,0.532581198924301
8,TGCT,TRAV13-2,Macrophage M1,0.5271980091212471
9,TGCT,TRAV8-7,Macrophage M1,0.5211841306941394
10,TGCT,TRAJ31,Macrophage M1,0.5031361277542921
11,TGCT,TRBV7-8,Macrophage M1,0.5026969666892687
12,ESCA,TRBJ2-3,B cell plasma,-0.5227291632366127
13,PAAD,TRGVB,T cell CD4+ naive,0.5674375353075896
14,PAAD,TRDJ3,T cell CD4+ naive,0.5674375353075896
15,PAAD,TRAV12-2,T cell CD8+,0.5263663583170846
16,PAAD,TRBV7-8,T cell CD8+,0.5211653872500858
17,PAAD,TRBV7-9,T cell CD8+,0.5101789835354418
18,KIRP,TRBV6-7,T cell CD4+ memory activated,0.5081653378577208
19,LIHC,IGHJ6,Macrophage M1,0.5534027798700745
20,LIHC,IGHJ2,T cell CD8+,0.5400463464286944
21,LIHC,IGHJ6,T cell CD8+,0.5343484271803546
22,LIHC,IGHV3-21,Macrophage M1,0.5167248916192289
23,LIHC,IGHV3-21,T cell CD8+,0.5148309881727261
24,LIHC,IGHJ3,Macrophage M1,0.5136962596934325
25,LIHC,IGHV3-30,T cell CD8+,0.5117151872134583
26,LIHC,IGHV4-59,Macrophage M1,0.5087575758514483
27,LIHC,IGHV3-7,T cell CD8+,0.5070908820549034
28,LIHC,IGHV1-69,Macrophage M1,0.5030857894867802
29,LIHC,IGHV1-69,T cell CD8+,0.5018753723845002
30,LIHC,IGHV3-48,T cell CD8+,0.501147760135151
31,CESC,TRBV27,T cell CD8+,0.5126643615380831
32,CESC,TRBV4-1,T cell CD8+,0.5038216522595456
33,SARC,TRBV9,T cell CD8+,0.577015205459016
34,SARC,TRAV12-2,T cell CD8+,0.558635667033545
35,SARC,TRAJ20,T cell CD8+,0.5555437683467589
36,SARC,TRBV19,T cell CD8+,0.5517647406244649
37,SARC,TRAV9-2,T cell CD8+,0.5439365542429406
38,SARC,TRBV11-2,T cell CD8+,0.5436126617020338
39,SARC,TRGV10,T cell CD8+,0.5354960073530189
40,SARC,TRBV2,T cell CD8+,0.5294823067938199
41,SARC,TRAJ10,T cell CD8+,0.5267466040633074
42,SARC,TRAV38-2DV8,T cell CD8+,0.526293736834066
43,SARC,TRAJ43,T cell CD8+,0.5257098044377307
44,SARC,TRBJ1-6,T cell CD8+,0.5253730909131112
45,SARC,TRBJ2-2,T cell CD8+,0.5241484679714746
46,SARC,TRDV1,T cell CD8+,0.5215252432519766
47,SARC,TRBV9,Macrophage M1,0.520404568240576
48,SARC,TRBV4-2,T cell CD8+,0.5190986197541421
49,SARC,TRBJ1-4,T cell CD8+,0.5187060270891758
50,SARC,TRAV17,T cell CD8+,0.5170253500118327
51,SARC,TRBJ2-7,T cell CD8+,0.5097487361463418
52,SARC,TRBV10-3,T cell CD8+,0.5076730105747985
53,SARC,TRBV19,Macrophage M1,0.503510701081202
54,SARC,TRBV4-1,T cell CD8+,0.5028972520432183
55,THYM,TRBV21-1,Macrophage M2,-0.7183625396566535
56,THYM,TRAJ61,Macrophage M2,-0.7154215465314963
57,THYM,TRBV14,Macrophage M2,-0.6607411525183291
58,THYM,TRBV15,Macrophage M2,-0.6598028949886042
59,THYM,TRBV4-2,Macrophage M2,-0.6579587678242991
60,THYM,TRBJ2-4,Macrophage M2,-0.645475287238922
61,THYM,TRBV3-2,Macrophage M2,-0.6429702448433549
62,THYM,TRBV5-8,Macrophage M2,-0.6425640158892558
63,THYM,TRBJ1-3,Macrophage M2,-0.636807676695136
64,THYM,TRBV12-4,Macrophage M2,-0.6328898896675241
65,THYM,TRBV10-3,Macrophage M2,-0.631183184287773
66,THYM,TRBV11-2,Macrophage M2,-0.6303781939179438
67,THYM,TRBV6-5,Macrophage M2,-0.6282558819844678
68,THYM,TRBV4-1,Macrophage M2,-0.6084584167499406
69,THYM,TRAV41,T cell CD4+ naive,0.6055974586731508
70,THYM,TRBJ1-4,Macrophage M2,-0.6038010519159276
71,THYM,TRBV3-2,T cell CD4+ naive,0.6005657903820154
72,THYM,TRBV5-7,Macrophage M2,-0.597555178963839
73,THYM,TRBV20-1,Macrophage M2,-0.5961156650754491
74,THYM,TRBV6-4,Macrophage M2,-0.5954421933868791
75,THYM,TRBV14,Macrophage M1,-0.590731588825034
76,THYM,TRBV6-1,Macrophage M2,-0.589356685360594
77,THYM,TRBV19,Macrophage M2,-0.5890954506063404
78,THYM,TRBJ2-6,Macrophage M2,-0.5886668590091144
79,THYM,TRBJ2-3,Macrophage M2,-0.5879235931915109
80,THYM,TRBV7-2,Macrophage M2,-0.5852319028415165
81,THYM,TRBV21-1,Macrophage M1,-0.582563716187081
82,THYM,TRBJ1-6,Macrophage M2,-0.5819976270019395
83,THYM,TRBV6-6,Macrophage M2,-0.5811853506441594
84,THYM,TRBJ1-1,Macrophage M2,-0.5768800027081334
85,THYM,TRBV2,Macrophage M2,-0.576536365848351
86,THYM,TRBJ1-2,Macrophage M2,-0.5764771869405299
87,THYM,TRAJ44,T cell CD4+ naive,0.5762179099840778
88,THYM,TRBJ1-5,Macrophage M2,-0.5716956710770122
89,THYM,TRBV7-4,Macrophage M2,-0.5714406225250419
90,THYM,TRBV6-2,Macrophage M2,-0.5702560932213745
91,THYM,TRAV40,T cell CD4+ naive,0.56727305340887
92,THYM,TRBV13,Macrophage M2,-0.5667781183803146
93,THYM,TRAV41,Macrophage M2,-0.5663903389327843
94,THYM,TRBV5-5,T cell CD4+ naive,0.5633334409476063
95,THYM,TRBV12-5,Macrophage M2,-0.5598890048960192
96,THYM,TRAJ61,NK cell activated,-0.5596179730949852
97,THYM,TRBV5-1,Macrophage M2,-0.5593596980110752
98,THYM,TRBV5-4,Macrophage M2,-0.5576177116248318
99,THYM,TRAJ61,Macrophage M1,-0.5574029770326738
100,THYM,TRAV40,Macrophage M2,-0.5569658227729244
101,THYM,TRAV5,T cell CD4+ naive,0.556426186168936
102,THYM,TRAJ58,Macrophage M2,-0.5564261807541456
103,THYM,TRBV7-3,Macrophage M2,-0.555062873765895
104,THYM,IGHJ5,Macrophage M1,0.5544555866841605
105,THYM,TRBV10-3,Macrophage M1,-0.5541410321029804
106,THYM,TRBV25-1,Macrophage M2,-0.5536486604069272
107,THYM,TRBJ2-5,Macrophage M2,-0.5523904488880184
108,THYM,TRBV15,T cell CD4+ naive,0.5523829510296369
109,THYM,TRBV23-1,Macrophage M2,-0.5523678445884442
110,THYM,TRBV24-1,Macrophage M2,-0.5520175578601508
111,THYM,TRBJ2-1,Macrophage M2,-0.5504803764778246
112,THYM,TRBV5-7,T cell CD4+ naive,0.5495068539078866
113,THYM,TRAV26-2,T cell CD4+ naive,0.5466625544500975
114,THYM,TRBV18,Macrophage M2,-0.5451148319587641
115,THYM,TRBV21-1,T cell CD4+ naive,0.5441608416216961
116,THYM,TRBV14,NK cell activated,-0.5412308356201878
117,THYM,TRBV27,Macrophage M2,-0.5395683474625115
118,THYM,TRBV11-3,Macrophage M2,-0.5391320823759108
119,THYM,TRBV5-8,Macrophage M1,-0.5377692265821915
120,THYM,TRBJ2-4,Macrophage M1,-0.5375896854555657
121,THYM,TRBV4-2,T cell CD4+ naive,0.5363055434834937
122,THYM,TRBV4-2,Macrophage M1,-0.5361947250751076
123,THYM,TRBJ2-6,Macrophage M1,-0.5340036876650708
124,THYM,TRBV5-5,Macrophage M2,-0.5327027982171363
125,THYM,TRBV14,T cell CD4+ naive,0.5319885642817945
126,THYM,TRBJ2-2,Macrophage M1,-0.531836248958085
127,THYM,TRBV15,Macrophage M1,-0.5311462422356422
128,THYM,TRBV4-3,Macrophage M2,-0.5308100315463606
129,THYM,TRBV15,NK cell activated,-0.5299685567243365
130,THYM,TRBV21-1,NK cell activated,-0.5284308226352558
131,THYM,TRBV19,Macrophage M1,-0.5277648825033657
132,THYM,TRBV11-1,Macrophage M2,-0.5266189839587099
133,THYM,TRBJ2-4,T cell CD4+ naive,0.5262242722758016
134,THYM,TRBV12-4,T cell CD4+ naive,0.5250141660485834
135,THYM,TRAJ44,Macrophage M2,-0.5211402730538428
136,THYM,TRBV6-5,Macrophage M1,-0.5189210807411594
137,THYM,TRBV12-4,Macrophage M1,-0.5180476643561156
138,THYM,TRBV30,Macrophage M2,-0.5178743166759708
139,THYM,TRBJ2-3,Macrophage M1,-0.5177768008761053
140,THYM,TRAV26-1,T cell CD4+ naive,0.5176061877996773
141,THYM,TRAJ38,T cell CD4+ naive,0.5151048595644179
142,THYM,TRBV24-1,T cell CD4+ naive,0.5139025175319469
143,THYM,TRBV5-4,T cell CD4+ naive,0.5131813841519097
144,THYM,TRBV3-2,Macrophage M1,-0.511397675252705
145,THYM,TRBV7-7,Macrophage M2,-0.5102163847291533
146,THYM,TRBV6-5,T cell CD4+ naive,0.5099617435807955
147,THYM,TRGJP1,T cell CD4+ naive,0.5094001237624125
148,THYM,TRBV5-6,Macrophage M2,-0.5091401873930648
149,THYM,IGHJ4,Macrophage M1,0.5090467046708909
150,THYM,TRAJ40,T cell CD4+ naive,0.508638995438216
151,THYM,TRBV24-1,Macrophage M1,-0.5084464791303966
152,THYM,TRBV20-1,Macrophage M1,-0.5082546355194898
153,THYM,TRAV26-2,Macrophage M2,-0.5078719260922352
154,THYM,TRBV5-8,T cell CD4+ naive,0.5075981640888142
155,THYM,TRBV4-1,Macrophage M1,-0.5074765191466599
156,THYM,TRBV11-2,T cell CD4+ naive,0.5074590396938642
157,THYM,TRBV10-3,T cell CD4+ naive,0.5071987642671768
158,THYM,TRBJ1-2,Macrophage M1,-0.5065698112387976
159,THYM,TRBV3-1,Macrophage M2,-0.5063845263615445
160,THYM,TRBJ2-6,T cell CD4+ naive,0.5057317057905307
161,THYM,TRBJ2-7,Macrophage M2,-0.5054153434129725
162,THYM,TRBJ2-2,Macrophage M2,-0.504500622693972
163,THYM,TRBV12-3,Macrophage M2,-0.503778461211125
164,THYM,TRAJ58,T cell CD4+ naive,0.5032944645174185
165,THYM,TRBV6-1,T cell CD4+ naive,0.5032668307752984
166,THYM,TRBV5-1,Macrophage M1,-0.5015944244977023
167,THYM,TRBV23-1,Macrophage M1,-0.5013367705861893
168,THYM,TRBJ2-1,Macrophage M1,-0.5012329106134398
169,MESO,TRBV9,T cell CD8+,0.651884914995159
170,MESO,TRBV9,Macrophage M1,0.5978520595634352
171,MESO,IGHV3-75,T cell CD4+ memory activated,0.5623665542960573
172,MESO,IGHV2-70,T cell CD8+,0.5467971865581301
173,MESO,TRAV27,T cell CD8+,0.5454348849887761
174,MESO,TRBJ1-3,T cell follicular helper,0.5345743757033288
175,MESO,TRBV27,T cell CD8+,0.5333657458642728
176,MESO,TRGV10,T cell CD8+,0.532320839132846
177,MESO,IGHV2-70,T cell follicular helper,0.5322704693131126
178,MESO,TRAJ36,T cell gamma delta,0.5295772246846232
179,MESO,TRBV9,T cell follicular helper,0.5271400841729014
180,MESO,TRBV5-8,Macrophage M1,0.5223647007985484
181,MESO,TRBV5-8,Macrophage M2,0.5123354953157307
182,MESO,TRBJ1-3,T cell CD8+,0.5112593380938883
183,MESO,TRBJ1-3,Macrophage M2,0.5111258468475015
184,MESO,TRBV27,T cell follicular helper,0.5090049782221919
185,MESO,TRAJ33,T cell CD8+,0.5045644461089713
186,MESO,TRBV27,Macrophage M1,0.5045271923255273
187,MESO,TRBJ2-4,T cell CD4+ memory activated,0.5041942306125375
188,MESO,IGHV3-30,B cell plasma,0.5029235626518526
189,STAD,TRBJ2-1,B cell plasma,-0.598807731215024
190,STAD,TRBJ2-3,B cell plasma,-0.5816078416783269
191,STAD,TRBJ2-7,B cell plasma,-0.5475780958097589
192,STAD,TRBJ2-2,B cell plasma,-0.522264654488824
193,STAD,TRBJ2-5,B cell plasma,-0.5145700563507263
194,STAD,TRBV6-5,B cell plasma,-0.511089390800576
195,SKCM,TRBV27,T cell CD8+,0.5761851133253182
196,SKCM,TRBJ1-2,T cell CD8+,0.5675690454601336
197,SKCM,TRBV29-1,Macrophage M1,0.5606331985814316
198,SKCM,TRAV17,T cell follicular helper,0.5554781347369658
199,SKCM,TRAJ6,T cell CD8+,0.5546350928999477
200,SKCM,TRBV27,NK cell activated,0.5540366572487316
201,SKCM,TRAJ49,T cell CD8+,0.5492169746723125
202,SKCM,TRAV27,T cell CD8+,0.5451443548097085
203,SKCM,TRBV4-2,T cell CD8+,0.5436982084958847
204,SKCM,TRAJ20,T cell CD8+,0.5407954283184055
205,SKCM,TRAJ45,T cell follicular helper,0.531541889107943
206,SKCM,TRAJ37,Macrophage M1,0.5268255867672873
207,SKCM,TRBV4-3,T cell CD8+,0.5231097522352145
208,SKCM,TRAJ35,NK cell activated,0.516780806859077
209,SKCM,TRBJ2-5,T cell CD8+,0.5148557844512381
210,SKCM,TRAJ49,NK cell activated,0.5089854474997327
211,SKCM,TRAJ45,NK cell activated,0.5066750340986721
212,SKCM,TRBV7-9,NK cell activated,0.5038623776379182
213,SKCM,TRBV19,T cell CD8+,0.5027913196609752
214,SKCM,TRAJ5,T cell CD8+,0.5023361718768341
215,SKCM,TRAV21,T cell CD8+,0.5015910518445921
216,CHOL,TRAV33,T cell CD4+ naive,1.0
217,CHOL,TRAJ7,T cell CD4+ naive,1.0
218,CHOL,TRAV9-1,T cell CD4+ naive,1.0
219,CHOL,TRBV12-1,T cell CD4+ naive,1.0
220,CHOL,TRBV12-5,T cell CD4+ naive,1.0
221,CHOL,TRBV5-2,T cell CD4+ naive,1.0
222,CHOL,IGLV3-30,T cell CD4+ naive,1.0
223,CHOL,IGKV3-31,T cell CD4+ naive,1.0
224,CHOL,IGHV3-62,T cell CD4+ naive,1.0
225,CHOL,TRBV6-4,T cell CD4+ naive,1.0
226,CHOL,IGHV3-9,T cell follicular helper,0.8019774035661852
227,CHOL,IGHV3-30,T cell follicular helper,0.776188449635166
228,CHOL,IGLV9-49,T cell follicular helper,0.759173831931688
229,CHOL,IGHV3-7,T cell follicular helper,0.7490657415684318
230,CHOL,IGHV3-73,T cell follicular helper,0.7431783934585625
231,CHOL,IGHJ2,T cell follicular helper,0.7198429177357245
232,CHOL,IGLVI-63,T cell CD4+ naive,0.7171371656006361
233,CHOL,IGKV2-4,T cell CD4+ naive,0.7171371656006361
234,CHOL,TRBV7-1,T cell CD4+ naive,0.7171371656006361
235,CHOL,TRAV36DV7,T cell CD4+ naive,0.7171371656006361
236,CHOL,TRAJ35,T cell CD4+ naive,0.7171371656006361
237,CHOL,IGHJ2,T cell CD4+ memory resting,0.709343230901659
238,CHOL,TRBV7-3,T cell CD8+,0.7033580204510722
239,CHOL,TRBV12-4,T cell follicular helper,0.6965639711550377
240,CHOL,IGHV3-33,Macrophage M2,0.695508470572663
241,CHOL,IGHV3-9,T cell CD8+,0.6922639651605098
242,CHOL,TRAJ4,T cell CD8+,0.6911085697130582
243,CHOL,TRBJ1-1,Macrophage M1,0.6856475043302994
244,CHOL,IGHV3-30,T cell CD8+,0.6853456533074948
245,CHOL,IGLV9-49,T cell CD8+,0.6824741115910445
246,CHOL,IGHJ4,T cell CD4+ memory resting,0.6798324275590995
247,CHOL,IGHV3-74,T cell follicular helper,0.6778712460147117
248,CHOL,TRBV21-1,T cell CD4+ naive,0.6761578989948855
249,CHOL,TRBV5-5,T cell CD4+ naive,0.6761578989948855
250,CHOL,TRBV7-5,T cell CD4+ naive,0.6761578989948855
251,CHOL,IGHV2-10,T cell CD4+ naive,0.6761578989948855
252,CHOL,IGHV3-48,T cell follicular helper,0.6755633738322412
253,CHOL,IGHV3-20,T cell CD4+ memory resting,0.6739442723585729
254,CHOL,IGHV3-30,Macrophage M1,0.672511350294372
255,CHOL,IGHV3-22,T cell CD8+,0.6700456028664614
256,CHOL,TRAJ40,T cell CD8+,0.6674409664042784
257,CHOL,IGHV3-11,T cell CD4+ memory resting,0.6661162095869064
258,CHOL,IGHV3-43,T cell follicular helper,0.6606431819248683
259,CHOL,TRAV39,T cell CD4+ memory activated,0.6602598431664769
260,CHOL,IGHV3-22,T cell regulatory (Tregs),0.6592159568110937
261,CHOL,IGHV3-38,T cell CD8+,0.6582888020189223
262,CHOL,IGHV3-11,T cell follicular helper,0.657870820048836
263,CHOL,TRAJ43,T cell regulatory (Tregs),0.6555903811243571
264,CHOL,IGHV3-7,Macrophage M1,0.6549760014932384
265,CHOL,IGLV5-48,T cell regulatory (Tregs),0.6538286783886357
266,CHOL,TRBJ1-1,T cell follicular helper,0.6532031615462813
267,CHOL,TRBV20-1,Macrophage M1,0.6466025708121685
268,CHOL,IGLV1-41,T cell follicular helper,0.6456582458275356
269,CHOL,IGHV3-9,Macrophage M1,0.6456179866546086
270,CHOL,IGHV3-7,T cell CD8+,0.6451217231141814
271,CHOL,TRBV12-4,T cell CD8+,0.6420841074892807
272,CHOL,IGHV1-46,T cell follicular helper,0.6390234126154001
273,CHOL,IGHV5-10-1,T cell follicular helper,0.6371419773630054
274,CHOL,TRBJ2-2,Macrophage M2,0.6361633327065123
275,CHOL,IGHV4-31,T cell regulatory (Tregs),0.6330981567714392
276,CHOL,TRAJ15,B cell memory,0.6327443488134957
277,CHOL,TRAJ34,T cell follicular helper,0.6325781565990853
278,CHOL,IGLV5-48,T cell CD8+,0.6317805281121198
279,CHOL,IGHV2-5,T cell CD4+ memory resting,0.6314502595357268
280,CHOL,IGHV3-20,T cell follicular helper,0.6307091908997269
281,CHOL,IGHV4-61,T cell follicular helper,0.6300798318852473
282,CHOL,IGHV1-69,T cell follicular helper,0.6297576747380388
283,CHOL,IGHV3-43,T cell CD4+ memory resting,0.6296334094935933
284,CHOL,TRAV20,T cell CD8+,0.6288419540229973
285,CHOL,IGLVI-70,T cell regulatory (Tregs),0.6284478300715202
286,CHOL,IGHV3-66,T cell follicular helper,0.6283403230325879
287,CHOL,IGHV3-47,T cell CD4+ memory resting,0.6263102951663729
288,CHOL,IGHV1-69,T cell CD4+ memory resting,0.6248594968461947
289,CHOL,IGHV3-20,T cell regulatory (Tregs),0.6228862665924438
290,CHOL,TRAJ40,T cell follicular helper,0.6224949302846614
291,CHOL,TRAJ6,Macrophage M1,0.6214347930568763
292,CHOL,IGHV3-35,T cell follicular helper,0.6211143353185299
293,CHOL,TRAJ34,T cell CD8+,0.6203536366957274
294,CHOL,IGHV4-61,T cell CD8+,0.6198231295980331
295,CHOL,IGHJ2,T cell CD8+,0.6186509420795842
296,CHOL,TRAJ49,T cell CD8+,0.6172793493014976
297,CHOL,IGHV3-48,T cell CD8+,0.6157614889036992
298,CHOL,IGHV4-59,Macrophage M1,0.610762242024239
299,CHOL,IGHJ2,Macrophage M1,0.6089420567036722
300,CHOL,TRBV7-3,T cell follicular helper,0.6089225595724153
301,CHOL,TRAV1-1,T cell CD8+,0.6079748700593546
302,CHOL,IGHV3-9,T cell regulatory (Tregs),0.6078524287896901
303,CHOL,IGHV2-26,T cell CD8+,0.6075686461548002
304,CHOL,IGHV3-47,T cell regulatory (Tregs),0.6070516040054948
305,CHOL,IGLV9-49,T cell regulatory (Tregs),0.6051218500986278
306,CHOL,TRBV18,T cell CD8+,0.6046149158618188
307,CHOL,TRGJ2,T cell regulatory (Tregs),0.6030883605656473
308,CHOL,TRAV26-2,T cell follicular helper,0.6023799388222378
309,CHOL,IGHV3-66,T cell CD8+,0.6020983536400466
310,CHOL,IGHJ2,T cell regulatory (Tregs),0.6010761496390697
311,CHOL,IGHJ4,T cell follicular helper,0.6009647818177448
312,CHOL,IGHV3-7,T cell CD4+ memory resting,0.6009291825129389
313,CHOL,TRGJ2,T cell CD8+,0.6008273554583322
314,CHOL,IGHV3-22,T cell follicular helper,0.5991328853289974
315,CHOL,IGHV1-8,Macrophage M1,0.5988638123656596
316,CHOL,IGHV3-60,T cell CD8+,0.5986546454467138
317,CHOL,TRAV26-2,T cell CD8+,0.5986546454467138
318,CHOL,IGHV3-74,T cell CD8+,0.5979525834226465
319,CHOL,IGHV3-7,T cell regulatory (Tregs),0.5960373931928293
320,CHOL,TRAV13-2,T cell follicular helper,0.595904596889012
